id,name,chemicalFormula,chemicalKey,baseId,placeId,validSlots,imageUrl,imageKey,imageFile,spriteFile,rarity,rarityValue,coinCost,diamondCost,topicId,description,funFact,collections
al_aluminumFoil__kitchen,Aluminium Foil,Aluminium (Al),al,al,kitchen,"kitchen_cutlery_drawer, kitchen_base_cabinet, kitchen_countertop",/chemcard/al_aluminumFoil.jpeg,al_aluminumFoil,al_aluminumFoil.jpeg,al_aluminumFoil.jpeg,epic,4,,58,01a|03d|02d,"Aluminum foil is a thin sheet of aluminum (Al) metal, prized for its malleability and resistance to corrosion. Its corrosion resistance comes from **passivation**; it instantly forms a thin, transparent layer of aluminum oxide (Al₂O₃) on its surface when exposed to air. This reaction is: 4Al(s) + 3O₂(g) → 2Al₂O₃(s). This oxide layer is tough and impermeable, protecting the underlying metal from further reaction.","Aluminum was once more valuable than gold. In the mid-19th century, it was considered a precious metal, and the cap of the Washington Monument was made from it to showcase its value.",metals
nahco3_bakingSoda__kitchen,Baking Soda,Sodium bicarbonate (NaHCO₃),nahco3,nahco3,kitchen,"kitchen_pantry_1, kitchen_pantry_2, kitchen_countertop",/chemcard/nahco3_bakingSoda.jpeg,nahco3_bakingSoda,nahco3_bakingSoda.jpeg,nahco3_bakingSoda.jpeg,common,1,,9,01a|04a|04d,"Baking soda (sodium bicarbonate, NaHCO₃) is a leavening agent in baking. When mixed with an acid (like vinegar, buttermilk, or cream of tartar) and moisture, it undergoes an **acid-base** reaction, producing carbon dioxide gas. The CO₂ bubbles get trapped in the batter, causing it to rise. A typical reaction with an acid (HA) is: NaHCO₃(s) + HA(aq) → NaA(aq) + H₂O(l) + CO₂(g). It can also decompose when heated alone: 2NaHCO₃(s) → Na₂CO₃(s) + H₂O(g) + CO₂(g).",Baking soda is also a fantastic deodorizer because it reacts with and neutralizes odor-causing acids and bases in the air and on surfaces.,basic
al_can__kitchen,Can,Aluminium (Al),al,al,kitchen,"kitchen_fridge, kitchen_dinette",/chemcard/al_can.jpeg,al_can,al_can.jpeg,al_can.jpeg,epic,4,,70,04a|03d|05d|02d,"An aluminum can is a container for beverages made primarily from aluminum (Al). Like aluminum foil, its resistance to corrosion from the drink inside is due to a thin, protective layer of aluminum oxide (Al₂O₃) formed through **passivation**: 4Al(s) + 3O₂(g) → 2Al₂O₃(s). The inside of the can is also often coated with a polymer to prevent any metallic taste or reaction with acidic drinks.",Recycling a single aluminum can saves enough energy to run a television for about three hours. Aluminum is infinitely recyclable without loss of quality.,metals
ethanol_methylated_spirits__kitchen,Methylated Spirits,Ethanol (C₂H₅OH),c2h5oh,c2h5oh,kitchen,"kitchen_pantry_1, kitchen_countertop",/chemcard/ethanol_methylated_spirits.jpeg,ethanol_methylated_spirits,ethanol_methylated_spirits.jpeg,ethanol_methylated_spirits.jpeg,epic,4,,55,06a|06b,"Methylated spirits, also known as denatured alcohol, is ethanol (C₂H₅OH) that has been rendered undrinkable by the addition of poisonous or foul-tasting chemicals like methanol or pyridine. It is used as a solvent and fuel for spirit burners. As a solvent, it relies on the principle of ""like dissolves like,"" effectively dissolving non-polar compounds like oils, resins, and some paints.","The bitter, foul taste in some modern methylated spirits comes from a compound called denatonium, which is recognized as the most bitter chemical compound known.",flammable|hydrogen_bonded
soot_candle__kitchen,Candle,Soot (C),soot,soot,kitchen,"kitchen_stove_oven, kitchen_countertop",/chemcard/soot_candle.jpeg,soot_candle,soot_candle.jpeg,soot_candle.jpeg,common,1,,8,01a|08a|05a,"A candle is typically made of paraffin wax (a hydrocarbon). When it burns, it undergoes **combustion**. Incomplete combustion, often due to a lack of oxygen, produces soot. Soot is primarily composed of amorphous carbon. The incomplete combustion of a simple hydrocarbon like methane (CH₄) can be represented as: CH₄(g) + O₂(g) → C(s) + 2H₂O(g). The solid carbon particles are what we see as black smoke.","A candle flame is a self-sustaining process. The heat of the flame melts the wax, which is drawn up the wick by capillary action, where it vaporizes and burns.",flammable
soap_powder__kitchen,Soap Powder,Soapy detergent,soappowder,soappowder,kitchen,"kitchen_pantry_1, kitchen_base_cabinet, toilet_vanity_cabinet",/chemcard/soap_powder.jpeg,soap_powder,soap_powder.jpeg,soap_powder.jpeg,common,1,,11,,"Soap powder, or laundry detergent, works through the principle of **emulsification**. Its molecules have a hydrophilic (water-loving) head and a hydrophobic (water-fearing) tail. The hydrophobic tails attach to grease and dirt, while the hydrophilic heads face the water. This forms structures called micelles, which suspend the dirt in the water so it can be rinsed away. This action doesn't involve a chemical change to the dirt, but a physical one.","The first mass-produced laundry detergent, ""Persil,"" was introduced in Germany in 1907. Its name comes from two of its main ingredients: **Per**borate and **Sil**icate.",
polypropylene_container__kitchen,Container,Polypropylene (PP),polypropylene,polypropylene,kitchen,"kitchen_pantry_1, kitchen_base_cabinet",/chemcard/polypropylene_container.jpeg,polypropylene_container,polypropylene_container.jpeg,polypropylene_container.jpeg,epic,4,,55,08a|05d,"This is another polypropylene (PP) container, formed through **addition polymerization** of propylene monomers: n CH₂=CH–CH₃ → [−CH₂−CH(CH₃)−]ₙ. Its high chemical resistance and ability to withstand heat make it ideal for storing a variety of kitchen items, from dry goods to leftovers.","Polypropylene is also used in many medical applications, including syringes and suture materials, because of its resistance to bacteria and chemicals.",polymer
fruit_juice_cup__kitchen,Juice Cup,,juice,juice,kitchen,"kitchen_fridge, kitchen_dinette",/chemcard/fruit_juice_cup.jpeg,fruit_juice_cup,fruit_juice_cup.jpeg,fruit_juice_cup.jpeg,common,1,,10,04a|04b|10a,"This cup demonstrates a beautiful chemical equilibrium using two common fruit juices. Blueberry juice contains anthocyanins—natural pigments that change color based on the acidity (pH) of their environment. When lemon juice (containing citric acid, C₆H₈O₇) is added to the blueberry juice, the solution becomes more acidic, shifting the anthocyanin equilibrium toward its red/pink form. This reversible reaction can be represented as: Anthocyanin (blue, basic form) + H⁺ ⇌ Anthocyanin (red, acidic form). As you continue to add lemon juice, the color transitions from blue to purple to pink, creating a visible pH indicator effect right in the cup!","The food industry uses this effect in ""mood drinks"" and color-changing cocktails, and as natural pH indicators in smart packaging to detect spoilage—all without synthetic dyes!",equilibrium
color_changing_mug__kitchen,Color-Changing Mug,,mug,mug,kitchen,"kitchen_dinette, kitchen_countertop",/chemcard/color_changing_mug.jpeg,color_changing_mug,color_changing_mug.jpeg,color_changing_mug.jpeg,epic,4,,71,07a|07d|08a|10a,"A color-changing mug contains a special pigment, often a **leuco dye**, embedded in the plastic or glaze. The color change is triggered by heat (thermochromism). The dye exists in two forms: a colored, closed-ring structure (lactone form) and a colorless, open-ring structure. A reversible chemical equilibrium between these two forms is established. Heat shifts the equilibrium, causing the ring to open or close and the color to appear or disappear. This can be represented as: Dye (closed, colored) ⇌ Dye (open, colorless) (ΔH).","Some thermochromic pigments are also used in mood rings, which supposedly change color with your body temperature, and in battery test strips.",equilibrium
soap_soap__kitchen,Soap,Soapy detergent,soap,soap,kitchen,"kitchen_countertop, kitchen_base_cabinet, toilet_vanity_top, toilet_vanity_cabinet",/chemcard/soap_soap.jpeg,soap_soap,soap_soap.jpeg,soap_soap.jpeg,common,1,,12,,"Same as `soap_soap__toilet`. Soap cleans through the formation of micelles, which encapsulate dirt and grease. This is a physical process driven by the amphiphilic nature of soap molecules. The fundamental chemical reaction to make it is **saponification**: Fat + 3NaOH → Glycerol + 3 Soap.","While we think of soap for cleaning, it can also be used as a lubricant and as a simple insecticide in gardening.",
h2o_seafoam__beach,Seafoam,Water (H₂O),h2o,h2o,beach,"beach_sea, beach_strandline",/chemcard/h2o_seafoam.jpeg,h2o_seafoam,h2o_seafoam.jpeg,h2o_seafoam.jpeg,uncommon,2,,24,01b|01a|10a,"Seafoam is created when wind and waves churn air into seawater. It is stabilized by organic matter dissolved in the water, such as proteins, lipids, and algae. These molecules act as surfactants, similar to soap, and their hydrophobic and hydrophilic parts help form stable bubbles. The water itself undergoes constant **autoionization**: 2H₂O(l) ⇌ H₃O⁺(aq) + OH⁻(aq), but the foam is a physical, not a chemical, phenomenon.","Large seafoam events, while usually harmless, can sometimes be whipped up by storms and, in rare cases, can contain harmful algal blooms or pollutants.",hydrogen_bonded|greenhouse_gas
he_balloons__beach,Balloons,Helium (He),he,he,beach,beach_sky,/chemcard/he_balloons.jpeg,he_balloons,he_balloons.jpeg,he_balloons.jpeg,legendary,5,,121,01a|07c|02b|02a,"Helium (He) is a noble gas that is less dense than air, which is why helium balloons float. Its chemical inertness, due to its full valence electron shell, makes it safe and non-flammable for this use. It is obtained as a byproduct of natural gas extraction and does not undergo any chemical reactions in this application.",Helium is the only element in the universe that was not formed through nuclear fusion in stars; it was mostly created during the Big Bang.,
s8_sulfurRock__beach,Sulphur Rock,Sulphur (S₈),s8,s8,beach,"beach_rock_1, beach_rock_2, beach_cliffside",/chemcard/s8_sulfurRock.jpeg,s8_sulfurRock,s8_sulfurRock.jpeg,s8_sulfurRock.jpeg,epic,4,,51,01a|01c|04a,"This sulfur rock is composed of elemental sulfur, which at room temperature exists as cyclic crown-shaped molecules of eight sulfur atoms, S₈. It can be found near volcanic areas and hot springs. Sulfur can undergo **combustion** in air, burning with a blue flame to produce sulfur dioxide, a pungent and toxic gas. The reaction is: S₈(s) + 8O₂(g) → 8SO₂(g). This is a key step in the industrial production of sulfuric acid.","Sulfur has a distinct smell often associated with hell or rotten eggs. However, pure sulfur is actually odorless. The smell is from other sulfur compounds, like hydrogen sulfide.",toxic|flammable
cuo_rock__beach,Rock,Copper(II) oxide (CuO),cuo,cuo,beach,"beach_rock_1, beach_rock_2, beach_cliffside",/chemcard/cuo_rock.jpeg,cuo_rock,cuo_rock.jpeg,cuo_rock.jpeg,rare,3,,54,01c|04a|07c|02d|12c,"This rock contains copper(II) oxide (CuO), a black mineral. It can form naturally from the weathering of copper-bearing rocks. CuO can be reduced to metallic copper by heating it with a reducing agent like carbon (coke) in a process called **smelting**. The simplified **redox** reaction is: 2CuO(s) + C(s) → 2Cu(s) + CO₂(g). This is one of the fundamental reactions in the extraction of copper from its ores.","Copper(II) oxide is used as a pigment to produce blue, red, and green colors in ceramics, glass, and artificial gemstones.",basic
nacl_tide_pool__beach,Tide Pool,Sodium chloride (NaCl),nacl,nacl,beach,"beach_sea, beach_strandline",/chemcard/nacl_tide_pool.jpeg,nacl_tide_pool,nacl_tide_pool.jpeg,nacl_tide_pool.jpeg,common,1,,12,01b|04e|04d,"A tide pool is a small pocket of seawater left behind by the receding tide. This water is a complex saline solution, with sodium chloride (NaCl) being the most abundant salt. As the sun evaporates the water in the pool, the concentration of NaCl increases. This can be thought of as the reverse of dissolution: Na⁺(aq) + Cl⁻(aq) → NaCl(s), leading to the formation of salt crystals around the edges of the pool.","The salinity of the ocean is not uniform. In tide pools, especially in hot climates, the water can become significantly saltier than the open ocean due to evaporation.",
h2o_seaIce__beach,Sea Ice,Water (H₂O),h2o,h2o,beach,beach_sea,/chemcard/h2o_seaIce.jpeg,h2o_seaIce,h2o_seaIce.jpeg,h2o_seaIce.jpeg,common,1,,8,01b|04d|06c,"Sea ice forms when the temperature of ocean water drops below its freezing point, which is about -1.8°C (28.8°F) due to the salt content. It is a **phase change** from liquid to solid: H₂O(l) → H₂O(s). Interestingly, when seawater freezes, most of the salt is expelled from the ice crystal structure, forming pockets of highly concentrated brine. This process makes the remaining ice much less salty than the original seawater.","Sea ice plays a crucial role in Earth's climate by reflecting sunlight back into space, a phenomenon known as the albedo effect.",hydrogen_bonded|greenhouse_gas
ar_bubble__beach,Bubble,Argon (Ar),ar,ar,beach,beach_sky,/chemcard/ar_bubble.jpeg,ar_bubble,ar_bubble.jpeg,ar_bubble.jpeg,epic,4,,73,01a|02b,"A bubble of argon (Ar) gas floating in the sky. Argon is a noble gas, making up about 0.93% of the Earth's atmosphere. It is chemically inert and does not form compounds under normal conditions, which is why it can exist as a simple, diatomic (monatomic) gas. Its lack of reactivity is due to its complete octet of valence electrons, fulfilling the **octet rule**.","Despite its inertness, an argon compound, argon fluorohydride (HArF), was created in a laboratory in 2000 at extremely cold temperatures (-265°C).",
sio2_sandcastle__beach,Sandcastle,Silicon dioxide (SiO₂),sio2,sio2,beach,beach_dry_sand,/chemcard/sio2_sandcastle.jpeg,sio2_sandcastle,sio2_sandcastle.jpeg,sio2_sandcastle.jpeg,epic,4,,54,01c|04a,"A sandcastle is made from sand, which is primarily composed of small grains of silicon dioxide (SiO₂), also known as silica. The structure is held together by the surface tension of water, which forms ""bridges"" between the sand grains. The key to a good sandcastle is the right amount of water. When the water evaporates, the surface tension is lost, and the castle crumbles. This is a physical process, not a chemical one.","The best sand for sandcastles has a mix of grain sizes. Smaller grains fill the gaps between larger ones, creating a denser and more stable structure.",acidic
n2_atmosphere__beach,Bubble,Nitrogen (N₂),n2,n2,beach,beach_sky,/chemcard/n2_atmosphere.jpeg,n2_atmosphere,n2_atmosphere.jpeg,n2_atmosphere.jpeg,epic,4,,84,01a|04a,"The air at the beach is mostly nitrogen gas (N₂), making up about 78% of the atmosphere. Dinitrogen is a very stable molecule due to its strong triple bond (N≡N). This inertness means it doesn't readily participate in many chemical reactions. However, it can be ""fixed"" into more reactive compounds like ammonia (NH₃) through the **Haber-Bosch process**: N₂(g) + 3H₂(g) → 2NH₃(g).","The strong triple bond in nitrogen makes it so stable that it was a major challenge for chemists to find a way to ""fix"" it into a form usable by plants, a problem solved by the Haber-Bosch process which now feeds half the world.",
al2o3_rock__beach,Rock,Aluminium oxide (Al₂O₃),al2o3,al2o3,beach,"beach_rock_1, beach_rock_2, beach_cliffside",/chemcard/al2o3_rock.jpeg,al2o3_rock,al2o3_rock.jpeg,al2o3_rock.jpeg,rare,3,,49,01c|04a|07c|07e|02d|12c,"This rock contains aluminum oxide (Al₂O₃), also known as alumina. In its pure, crystalline form, it is the mineral corundum. It is extremely hard and resistant to weathering. Alumina is the primary source of aluminum metal, which is extracted via the energy-intensive **Hall-Héroult process**. This is an electrolytic reduction: 2Al₂O₃(l) + 3C(s) → 4Al(l) + 3CO₂(g).","Rubies and sapphires are both gemstone varieties of corundum (Al₂O₃). The difference in color comes from trace impurities: chromium for red rubies, and iron and titanium for blue sapphires.",acidic|basic
o2_atmosphere__beach,Atmosphere,Oxygen (O₂),o2,o2,beach,beach_sky,/chemcard/o2_atmosphere.jpeg,o2_atmosphere,o2_atmosphere.jpeg,o2_atmosphere.jpeg,rare,3,,60,01a|07c,"The air we breathe contains about 21% oxygen (O₂), which is essential for cellular respiration in most life forms. Oxygen is a highly reactive gas that supports **combustion**. For example, when we burn a fuel like methane, it reacts with oxygen: CH₄(g) + 2O₂(g) → CO₂(g) + 2H₂O(g). Oxygen's reactivity is also what drives the process of rusting and other oxidation reactions.",Almost all the oxygen in Earth's atmosphere was produced by cyanobacteria and later by plants through the process of photosynthesis.,flammable|oxidizing|energy_generator
nylon_sailboat__beach,Sailboat,Nylon,nylon,nylon,beach,"beach_sea, beach_sky",/chemcard/nylon_sailboat.jpeg,nylon_sailboat,nylon_sailboat.jpeg,nylon_sailboat.jpeg,rare,3,,59,05d,"The sails of a sailboat are often made from nylon or other synthetic fibers like Dacron (a type of polyester). Nylon is a polyamide, formed by **condensation polymerization**. The strength and flexibility of the polymer chains, held together by hydrogen bonds, make it an ideal material for withstanding strong winds. The reaction for Nylon 6,6 is: n H₂N-(CH₂)₆-NH₂ + n HOOC-(CH₂)₄-COOH → [−NH-(CH₂)₆-NH-CO-(CH₂)₄-CO−]ₙ + 2n H₂O.","Nylon was the first commercially successful synthetic polymer. It was famously used for women's stockings in the 1940s, which caused ""nylon riots"" as women clamored to buy them.",polymer
sio2_sandCookie__beach,Sand,Silicon dioxide (SiO₂),sio2,sio2,beach,"beach_dry_sand, beach_strandline, beach_rock_1",/chemcard/sio2_sandCookie.jpeg,sio2_sandCookie,sio2_sandCookie.jpeg,sio2_sandCookie.jpeg,rare,3,,51,01c,"A sand cookie is a compacted lump of sand (SiO₂), similar to a sandcastle. It is formed when sand is moistened and then compressed. The cohesion is due to the surface tension of the water films between the sand grains. When the water evaporates, the structure loses its strength and crumbles. This is a classic example of a physical change, where the chemical identity of the SiO₂ remains unchanged.","Sand can also form permanent structures through a chemical change if it is heated to extreme temperatures, as in the making of glass or when lightning strikes sand, forming a fulgurite.",
silica_glass__beach,Glass,Silicon dioxide (SiO₂),sio2,sio2,beach,"beach_rock_1, beach_dry_sand",/chemcard/silica_glass.jpeg,silica_glass,silica_glass.jpeg,silica_glass.jpeg,rare,3,,58,01b|01c,"Glass found on the beach, often as smooth, frosted pieces called ""sea glass,"" is primarily made of silicon dioxide (SiO₂). It is produced by melting silica (sand) with other additives at very high temperatures, and then cooling it rapidly so it doesn't form a crystalline structure. This creates an **amorphous solid** or a ""supercooled liquid."" Unlike the physical change of shaping a sandcastle, making glass involves a chemical and physical transformation.","Sea glass is formed from broken glass bottles and jars that have been tumbled and weathered by the ocean for many years, often decades.",
zn_guardrail__gas_station,Guardrail,Zinc (Zn),zn,zn,gas_station,"gas_station_construction_site, gas_station_street_light",/chemcard/zn_guardrail.jpeg,zn_guardrail,zn_guardrail.jpeg,zn_guardrail.jpeg,rare,3,,46,07a|07d|07c|03d|02d|12c,"A steel guardrail is often coated with zinc (Zn) to protect it from rust. This process, known as galvanization, uses the principle of **cathodic protection** (or sacrificial protection). Zinc is more easily oxidized than iron. If the coating is scratched, the zinc will corrode preferentially, acting as a sacrificial anode. The oxidation reaction is: Zn(s) → Zn²⁺(aq) + 2e⁻. The electrons released then protect the iron from oxidizing.","The zinc coating on a guardrail will slowly wear away over decades, sacrificing itself to protect the underlying steel. This is why galvanized structures last so long outdoors.",metals
hydrocarbon_exhaust__gas_station,Exhaust,Unburnt hydrocarbon (CxHy),cxhy,cxhy,gas_station,"gas_station_car_1, gas_station_car_2",/chemcard/hydrocarbon_exhaust.jpeg,hydrocarbon_exhaust,hydrocarbon_exhaust.jpeg,hydrocarbon_exhaust.jpeg,common,1,,8,01a|09a|09b|05a,"Car exhaust contains unburned hydrocarbons (CₓHᵧ), a result of incomplete combustion of fuel. This is a pollutant that contributes to smog formation. Ideally, fuel would undergo **complete combustion**: CₓHᵧ + (x + y/4)O₂ → xCO₂ + (y/2)H₂O. However, in an engine, there isn't always enough time or oxygen for this to happen fully, leading to the emission of the original fuel molecules.","Catalytic converters in cars are designed to complete the combustion of these unburned hydrocarbons, converting them into less harmful carbon dioxide and water vapor.",flammable|energy_generator|harmful
soot_exhaust__gas_station,Exhaust,Soot (C),soot,soot,gas_station,"gas_station_car_1, gas_station_car_2",/chemcard/soot_exhaust.jpeg,soot_exhaust,soot_exhaust.jpeg,soot_exhaust.jpeg,common,1,,8,01a|05a,"Soot in exhaust is a sign of **incomplete combustion**. It consists of fine particles of amorphous carbon (C) and is a major component of diesel particulate matter. The chemical equation for the incomplete combustion of a hydrocarbon, like octane (C₈H₁₈), can be represented as: 2C₈H₁₈(l) + 17O₂(g) → 16C(s) + 18H₂O(g). This black smoke is both an environmental pollutant and a health hazard.","Diesel engines produce significantly more soot than gasoline engines, which is why diesel vehicles are often equipped with diesel particulate filters (DPFs) to trap this material.",flammable|harmful
suspended_particulates__gas_station,Exhaust,Suspended particulates,suspended,suspended,gas_station,gas_station_factory,/chemcard/suspended_particulates.jpeg,suspended_particulates,suspended_particulates.jpeg,suspended_particulates.jpeg,common,1,,9,01a|04a|07c,"Suspended particulates, or particulate matter (PM), are tiny particles of solids or liquids suspended in the air. At a gas station, these can come from vehicle exhaust (soot), industrial emissions, or road dust. They are a complex mixture, not a single chemical, and contribute to air pollution and respiratory problems. They can act as surfaces for other chemical reactions, such as the oxidation of SO₂ to SO₃, which leads to acid rain.","PM2.5, which refers to particles smaller than 2.5 micrometers, is particularly dangerous because they can penetrate deep into the lungs and even enter the bloodstream.",harmful
so2_factoryEmission__gas_station,Factory Emission,Sulphur dioxide (SO₂),so2,so2,gas_station,gas_station_factory,/chemcard/so2_factoryEmission.jpeg,so2_factoryEmission,so2_factoryEmission.jpeg,so2_factoryEmission.jpeg,common,1,,10,01a|04a|05a,"Sulfur dioxide (SO₂) is a gas produced primarily from the burning of fossil fuels (like coal and oil) that contain sulfur impurities. It is a major contributor to acid rain. In the atmosphere, SO₂ can be further oxidized to sulfur trioxide (SO₃), which then reacts with water to form sulfuric acid (H₂SO₄): 2SO₂(g) + O₂(g) → 2SO₃(g), followed by SO₃(g) + H₂O(l) → H₂SO₄(aq).","Sulfur dioxide is also responsible for the characteristic smell of struck matches, as the striking surface contains sulfur compounds.",acidic|toxic
sio2_sandbag__gas_station,Sandbag,Silicon dioxide (SiO₂),sio2,sio2,gas_station,gas_station_construction_site,/chemcard/sio2_sandbag.jpeg,sio2_sandbag,sio2_sandbag.jpeg,sio2_sandbag.jpeg,legendary,5,,75,01a|01c|04a|09a|09b,"A sandbag is a bag filled with sand (SiO₂). They are used for flood control, weight, and ballast. The sand itself is inert and provides mass. The sand's chemical stability is due to the strong silicon-oxygen bonds in its SiO₂ structure, making it highly resistant to weathering and chemical attack.",Sandbags are also used in military fortifications to absorb bullets and shrapnel. The sand's granular structure is very effective at dissipating kinetic energy.,acidic
pvc_pipes__gas_station,Pipes,Polyvinyl chloride (PVC),pvc,pvc,gas_station,gas_station_construction_site,/chemcard/pvc_pipes.jpeg,pvc_pipes,pvc_pipes.jpeg,pvc_pipes.jpeg,rare,3,,47,05d,"Polyvinyl chloride (PVC) pipes are used for plumbing, drainage, and electrical conduit. PVC is produced by the **addition polymerization** of vinyl chloride monomer (CH₂=CHCl). The reaction is: n CH₂=CH–Cl → [−CH₂−CHCl−]ₙ. The presence of chlorine atoms in the polymer chain gives PVC its flame resistance and durability.",PVC is one of the most widely produced synthetic plastics in the world. It can be made either rigid (for pipes) or flexible (for cables and flooring) by adding plasticizers.,polymer
petroleum_refinery__gas_station,Oil Refinery,Petroleum,petroleum,petroleum,gas_station,gas_station_factory,/chemcard/petroleum_refinery.jpeg,petroleum_refinery,petroleum_refinery.jpeg,petroleum_refinery.jpeg,legendary,5,,125,05a|05c,"An oil refinery is an industrial complex where crude oil (petroleum) is separated and converted into useful products like gasoline, diesel, and jet fuel. The primary process is **fractional distillation**, a physical separation based on boiling points. However, refineries also use chemical processes like **cracking**, where large hydrocarbon molecules are broken down into smaller, more valuable ones. For example: C₁₆H₃₄ → C₈H₁₈ + C₈H₁₆.","The modern oil refinery is a marvel of chemical engineering, and its products are the basis for not just fuels, but also plastics, lubricants, asphalt, and thousands of other chemicals.",energy_generator
petrol_pump_nozzle__gas_station,Pump Nozzle,Petrol,petrol,petrol,gas_station,gas_station_petrol_pump,/chemcard/petrol_pump_nozzle.jpeg,petrol_pump_nozzle,petrol_pump_nozzle.jpeg,petrol_pump_nozzle.jpeg,rare,3,,43,05a,"The pump nozzle dispenses petrol (gasoline), a complex mixture of hydrocarbons. The key property that makes it useful as a fuel is its ability to undergo **combustion** in an engine. The octane rating of petrol is a measure of its resistance to auto-ignition (knocking). The complete combustion of a representative octane (C₈H₁₈) is: 2C₈H₁₈(l) + 25O₂(g) → 16CO₂(g) + 18H₂O(g).","The ""check valve"" at the end of a petrol nozzle is what automatically shuts off the pump when the tank is full. It works by a vacuum created when the gasoline covers a small hole near the tip.",flammable|energy_generator
pb_carPart__gas_station,Car Part,Lead (Pb),pb,pb,gas_station,"gas_station_car_1, gas_station_car_2",/chemcard/pb_carPart.jpeg,pb_carPart,pb_carPart.jpeg,pb_carPart.jpeg,rare,3,,52,01a|07a|07d|03d|05a|02d,"This car part, often a battery terminal or wheel weight, is made of lead (Pb). Lead is dense, malleable, and resistant to corrosion. Its corrosion resistance comes from the formation of a protective layer, often of lead sulfate or lead oxide, on its surface. For example, in air, it forms a thin layer of lead(II) oxide: 2Pb(s) + O₂(g) → 2PbO(s). This passivation layer protects the underlying metal.","Because of its high density, lead is used in radiation shielding (e.g., in X-ray rooms) and as a soundproofer. Its use in gasoline (as tetraethyllead) was phased out due to its extreme toxicity.",metals|toxic
no2_exhaust__gas_station,Exhaust,Nitrogen dioxide (NO₂),no2,no2,gas_station,"gas_station_car_1, gas_station_car_2",/chemcard/no2_exhaust.jpeg,no2_exhaust,no2_exhaust.jpeg,no2_exhaust.jpeg,common,1,,10,01a|04a|08a,"Nitrogen dioxide (NO₂) is a reddish-brown, toxic gas found in vehicle exhaust. It is formed when nitrogen and oxygen in the air react under the high temperature and pressure of an engine's combustion chamber. This is an endothermic reaction: N₂(g) + O₂(g) → 2NO(g). The nitric oxide (NO) then rapidly reacts with more oxygen in the air to form NO₂: 2NO(g) + O₂(g) → 2NO₂(g). NO₂ is a major component of smog and acid rain.",Nitrogen dioxide is responsible for the brownish haze often seen in smog over cities.,acidic|toxic
no_exhaust__gas_station,Exhaust,Nitric monoxide (NO),no,no,gas_station,"gas_station_car_1, gas_station_car_2",/chemcard/no_exhaust.jpeg,no_exhaust,no_exhaust.jpeg,no_exhaust.jpeg,common,1,,11,01a|04a,"Nitric oxide (NO) is a colorless gas formed in high-temperature combustion processes, such as in a car engine. It is produced by the reaction of atmospheric nitrogen and oxygen: N₂(g) + O₂(g) → 2NO(g). While NO itself is a pollutant, it is also a crucial signaling molecule in the human body, involved in regulating blood pressure.",The discovery of nitric oxide's role as a biological signaling molecule was such a significant finding that it led to a Nobel Prize in Physiology or Medicine in 1998.,flammable|toxic
ne_neonSign__gas_station,Neon Sign,Neon (Ne),ne,ne,gas_station,"gas_station_motel, gas_station_street_light",/chemcard/ne_neonSign.jpeg,ne_neonSign,ne_neonSign.jpeg,ne_neonSign.jpeg,rare,3,,60,01a|02d,"A classic ""neon"" sign contains neon gas (Ne) at low pressure. When a high voltage is applied across the gas, electrons are stripped from neon atoms. When these ions recombine with electrons, they release energy in the form of light. This is a process of **atomic emission**. The color of the light depends on the gas; pure neon emits a distinct red-orange glow.","Many ""neon"" signs are actually filled with other gases to get different colors. For example, argon with a drop of mercury gives a blue light, and helium produces a pale yellow or pinkish light.",
natural_gas_flare__gas_station,Gas Flare,Natural gas,natural,natural,gas_station,gas_station_factory,/chemcard/natural_gas_flare.jpeg,natural_gas_flare,natural_gas_flare.jpeg,natural_gas_flare.jpeg,rare,3,,51,,"A gas flare is a combustion device used at oil refineries and wellheads to burn off flammable, waste, or excess gases, primarily methane (CH₄). This is a safety and environmental measure, converting potentially explosive gases into less dangerous compounds. The primary reaction is **combustion**: CH₄(g) + 2O₂(g) → CO₂(g) + 2H₂O(g). In practice, flaring is often incomplete, producing soot and other pollutants.","Flaring is a significant source of global carbon dioxide emissions, and efforts are underway to capture this gas for use as a fuel rather than burning it off.",flammable|energy_generator
engine_oil__gas_station,Engine Oil,Petroleum,engine,engine,gas_station,"gas_station_petrol_pump, gas_station_car_1, gas_station_car_2",/chemcard/engine_oil.jpeg,engine_oil,engine_oil.jpeg,engine_oil.jpeg,rare,3,,45,01a|04a|07c|05a|02d,"Engine oil is a complex mixture of base oils (derived from petroleum) and various additives. Its primary function is to lubricate engine parts, reducing friction and wear. It can also undergo chemical changes during use, such as **oxidation** at high temperatures, which can lead to sludge formation. The base oil molecules (hydrocarbons) can react with oxygen: Hydrocarbon + O₂ → Oxidized products (alcohols, ketones, acids).","The ""W"" in oil grades like 10W-30 stands for ""Winter,"" indicating the oil's viscosity at low temperatures.",energy_generator
